fips,Population,% in disadvantaged comunity,% low income (<200% poverty)
1001,55380,0.057511737,0.243854821
1003,212830,0.159371329,0.23341075
1005,25361,1,0.501743228
1007,22493,0.781176366,0.404108834
1009,57681,0.635755275,0.314109672
1011,10248,1,0.46303669
1013,19828,1,0.427798568
1015,114618,0.611160551,0.326338708
1017,33660,0.716815211,0.365915033
1019,25903,0.628035363,0.368734123
1021,44055,0.747928725,0.374724776
1023,12925,1,0.42708472
1025,24128,1,0.404937417
1027,13337,1,0.407111044
1029,14916,0.46366318,0.363172432
1031,51662,0.320699934,0.267047927
1033,54771,0.346625039,0.318070147
1035,12394,1,0.488953526
1037,10757,0.678441945,0.366925723
1039,37200,0.748306452,0.375583871
1041,13844,0.718867379,0.355092459
1043,82853,0.444546365,0.335594728
1045,49277,0.477768533,0.346969986
1047,39149,0.734322716,0.479373164
1049,71310,0.80166877,0.433529519
1051,81144,0.103987972,0.213961846
1053,37057,0.873087406,0.420777991
1055,102748,0.659419161,0.331004496
1057,16494,1,0.394816297
1059,31466,1,0.391600775
1061,26417,0.734110611,0.367179468
1063,8324,1,0.604064152
1065,14809,0.8529948,0.429174151
1067,17133,0.61886418,0.33515905
1069,104702,0.626158049,0.329157323
1071,51852,1,0.404562408
1073,659680,0.382361145,0.262699764
1075,13885,1,0.398257112
1077,92556,0.267999914,0.264949976
1079,33058,0.560983726,0.32275788
1081,161152,0.147835584,0.195693817
1083,94727,0.266122647,0.242213624
1085,10079,1,0.50618613
1087,18708,1,0.371076545
1089,362276,0.159833939,0.171675463
1091,19321,1,0.41698204
1093,29866,0.952454296,0.416884417
1095,95643,0.845801575,0.368323139
1097,414114,0.49560266,0.324938181
1099,21270,1,0.469897038
1101,226941,0.396993051,0.294683949
1103,119213,0.411565853,0.303173144
1105,9293,1,0.521817497
1107,20243,0.78086252,0.405422121
1109,33333,0.70203702,0.233927039
1111,22647,0.702565461,0.357774981
1113,57952,0.577374379,0.337808704
1115,87989,0.288274671,0.264644558
1117,213432,0.0563505,0.123895011
1119,12797,1,0.402345862
1121,80387,0.703621232,0.381569532
1123,40541,0.447472929,0.373110925
1125,207305,0.238532597,0.237550614
1127,64110,0.851567618,0.368987054
1129,16541,1,0.391894686
1131,10681,1,0.52595169
1133,23784,1,0.431408089
2013,3385,1,0.32
2016,5698,0,0.208803089
2020,293531,0.129846592,0.120636457
2050,18134,1,0.53363516
2060,875,0,0.18
2068,2246,1,0.31
2070,4961,1,0.434622052
2090,99072,0.085715439,0.107014293
2100,2518,0,0.22
2105,2139,0.033660589,0.289326788
2110,32227,0,0.093863841
2122,58464,0.09506705,0.238915743
2130,13800,0,0.194475362
2150,13451,0.127202438,0.159947959
2164,1393,1,0.41
2170,105369,0.07533525,0.18374465
2180,9988,0.588406087,0.416550861
2185,9792,0.714562908,0.203123979
2188,7715,1,0.4708814
2195,3257,0,0.17
2198,6407,0.99781489,0.334891525
2220,8640,0,0.150746528
2230,1107,0,0.17
2240,6878,0.355045071,0.222605409
2261,9243,0.225035162,0.192756681
2270,4331,0,0
2275,2502,1,0.31
2282,649,1,0.32
2290,5377,0.763436861,0.4336061
4001,71511,0.825229685,0.544347443
4003,125867,0.646491932,0.34308389
4005,141274,0.356958818,0.215872701
4007,53546,0.948399507,0.402839241
4009,37996,0.46839141,0.340458732
4011,9522,0.56826297,0.299135686
4012,20793,0.958543741,0.459177127
4013,4328810,0.272334198,0.231718181
4015,207695,0.541182985,0.367509473
4017,109270,0.83069461,0.474993228
4019,1024510,0.386740979,0.266208002
4021,432793,0.388825605,0.287095401
4023,46480,0.882831325,0.464050129
4025,228067,0.356184805,0.264777763
4027,209468,0.659403823,0.388921219
5001,17914,0.733281233,0.369867143
5003,20270,0.721312284,0.375473606
5005,41427,0.770705096,0.336292032
5007,265759,0.246738586,0.221693339
5009,37331,0.664809408,0.362606145
5011,10874,1,0.389850101
5013,5192,1,0.305294684
5015,27965,1,0.332253531
5017,10615,1,0.51188601
